Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10965205,00000522,false,Rx,0,6,01,04,00,04,7A,2A,00,00,
10967303,0000035D,false,Rx,0,8,01,00,00,00,00,00,00,00,
10967766,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10967947,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10972067,000003B4,false,Rx,0,8,00,FF,30,F0,B8,FF,00,00,
10972267,00000521,false,Rx,0,6,00,0C,00,00,02,68,00,00,
10975666,1801D08F,true,Rx,0,8,00,8C,00,5E,03,00,00,47,
10977766,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10987770,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10987947,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10992092,00000272,false,Rx,0,8,8D,FB,71,11,FF,FF,FF,FF,
10992292,00000521,false,Rx,0,6,00,0D,00,00,02,73,00,00,
10997241,0000039D,false,Rx,0,5,1B,52,01,28,00,00,00,00,
10997776,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
11003192,00000523,false,Rx,0,6,02,05,00,04,7A,41,00,00,
11004219,00000524,false,Rx,0,6,03,05,00,00,00,0A,00,00,
11007771,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
11007959,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
11010782,00000100,false,Rx,0,8,01,00,00,00,3D,09,3F,12,
11011036,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
11012235,00000521,false,Rx,0,6,00,0E,00,00,02,73,00,00,
11012468,00000351,false,Rx,0,8,20,0D,C8,00,DC,05,D3,0A,
11012703,00000355,false,Rx,0,8,27,00,64,00,86,01,00,00,
11012949,00000356,false,Rx,0,8,A5,72,FA,FF,E1,00,00,00,
11014802,0000035A,false,Rx,0,8,00,00,00,00,00,00,00,00,
11015036,0000035E,false,Rx,0,8,53,49,4D,50,20,42,4D,53,
11016792,00000370,false,Rx,0,8,53,49,4D,50,20,45,43,4F,
11017782,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
11018812,00000373,false,Rx,0,8,8E,0D,AA,0D,27,01,28,01,
11020827,00000379,false,Rx,0,8,D2,00,00,00,01,00,00,00,
11022830,00000372,false,Rx,0,8,0E,00,00,00,00,00,00,00,
11025192,00000522,false,Rx,0,6,01,05,00,04,7A,2A,00,00,
11027783,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
11028034,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
11028215,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
11028461,000002FA,false,Rx,0,8,FD,FF,05,FF,FF,FF,FF,FF,
11028685,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
11028919,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
11029165,0000003F,false,Rx,0,8,00,00,00,80,00,80,64,CE,
11029419,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
11029644,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
11029869,00000432,false,Rx,0,8,2C,E2,10,A3,4E,FF,02,FF,
11030126,00000510,false,Rx,0,8,40,10,20,00,00,00,00,00,
11030370,0000051A,false,Rx,0,8,00,00,00,00,50,00,00,1A,
11030617,00000540,false,Rx,0,8,00,00,00,00,FD,3C,FF,40,
11032111,00000521,false,Rx,0,6,00,0F,00,00,02,5E,00,00,
11037196,0000039D,false,Rx,0,5,1C,53,01,28,00,00,00,00,
11037804,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
11047801,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
11047989,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
11052179,00000521,false,Rx,0,6,00,00,00,00,02,75,00,00,
