Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
133959842,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
133964485,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133964673,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133967727,00000521,false,Rx,0,6,00,03,00,00,02,CA,00,00,
133974489,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133978804,00000522,false,Rx,0,6,01,01,00,04,63,68,00,00,
133982676,0000039D,false,Rx,0,5,28,5F,01,28,00,00,00,00,
133984491,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133984672,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133984925,000002FA,false,Rx,0,8,FD,FF,05,FF,FF,FF,FF,FF,
133985128,00000328,false,Rx,0,6,D2,00,00,00,87,1E,00,00,
133985373,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
133985513,000003E8,false,Rx,0,2,F1,FF,00,00,00,00,00,00,
133985757,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
133985981,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
133986226,000002F1,false,Rx,0,8,36,10,7D,00,00,00,00,A0,
